Abinomn	Avinomen,Foja,Foya,Abinomneg [br],Lingua abinomn [gl],Llingua Abinomn [ast],Baso
Aewa	Abishira,Abigira,Abiquira,Agouisiri,Auishiri,Auishiri (tekiraka),Avirxiri,Ixignor,Tequraca,Vacacocha,Abishira [en],Abijiras,Ah-Vacacocha Ism. Barrio,Ah-Vacacocha Tessmann,Auischiri,Tekiraka,Vacacochas,Aushiri,Avishiri,Avixiri,Tequiraca
Abkhaz-Adyge	
Abkhaz-Abaza	
Abaza	Abazin,Abazintsy,Ahuwa,Ashuwa,Tapanta,Abasiini keel [et],Abasinische Sprache [de],Abasínska [is],Abaza lingvo [eo],Abaza nyelv [hu],Abazaca [tr],Abazan kieli [fi],Abazeg [br],Abazijns [nl],Abazinska [sv],Abazinski jezik [hr],Abazinų kalba [lt],Abazí [ca],Idioma abaza [es],Język abazyński [pl],Limba abazină [ro],Lingua abaza [gl],Lingua abazina [it],Língua abaza [pt],Abkhazy north of the Caucasian ridge
Ashkaraua	Ashkar
Bezshagh	
Tapanta	
Abkhaz	Abxaz,Abjaso,Abkhaze,Abxazo,Abc'hazeg [br],Abchaseg [cy],Abchasische Sprache [de],Abchazisch [nl],Abchaziska [sv],Abchazų kalba [lt],Abcházština [cs],Abhaasin kieli [fi],Abhaski jezik [hr],Abhaz dili [tk],Abhazca [tr],Abhaški jezik [sh],Abház nyelv [hu],Abhāzu valoda [lv],Abkasíska [is],Abkhasisk [no],Abkhasisk språk [nn],Abkhaz [ca],Abkhaze [fr],Abkhazera [eu],Abkhazian [en],Abĥaza lingvo [eo],An Abcáisis [ga],Bahasa Abkhaz [ms],Idioma abhasio [an],Idioma abjasio [es],Język abchaski [pl],Limba abhază [ro],Lingua abcasa [it],Lingua abkhaza [gl],Língua abecásia [pt],Pinulongang Abhaso [ceb],Abchasische,Abkhazian,Abxazskij,Abxazy,Cwyzhy
Abzhui	
Bzyb	
Samurzakan	
Circassian	
Adyghe	Adyghe (Abzakh),Adyghe (Shapsugh),Adyghe (Temirgoy),Abzakh,Abzax,Circassian (West),Adygh,Abydh,Adiga,Adygei,Adygey,Adyguéen,Cherkes,Circassian,Kiakh,Kjax,Lower Circassian,West Circassian,Adigea lingvo [eo],Adigece [tr],Adigeg [br],Adigejski jezik [hr],Adigué [ca],Adygei [en],Adygeische Sprache [de],Adygeiska [sv],Adygejština [cs],Adygen kieli [fi],Adygeyska [is],Adyguéen [fr],Adygų kalba [lt],An Adyghe [ga],Język adygejski [pl],Língua adigue [pt],Zimanê adigeyî [ku],Adygejtsy,Tscherkassen,Tscherkessische,Tscherkessischen
Abadzex	
Bezhedukh	
Natuzaj	Natukhai
Shapsug	
Xakuchi	
Kabardian	Circassian (East),Kabardino-Cherkes,Kabardo-Cherkessian,Beslenei,East Circassian,Kabarde-tcherkesse,Kabardo-Cherkes,Kabardái,Upper Circassian,Idioma cabardiano [es],Kabarde [fr],Kabardeyce [tr],Kabardi-tšerkessi keel [et],Kabardin kieli [fi],Kabardinische Sprache [de],Kabardinski jezik [hr],Kabardinų kalba [lt],Kabardisch [nl],Kabardí [ca],Kabardčina [sk],Lingua cabarda [it],Zimanên çerkezî [ku],Kabardintsy i Čerkesy
Greater Kabardian	Baksan,Beslenei,Beslenej,Cherkes,Kuban,Lesser Kabardian,Malka,Mozdok
Ubykh	Ubyx,Oubykh,Oubykh (Causase),Oubykh (Turquie),Pekhi,Ubijé  (Turquía),Idioma ubijé [es],Język ubyski [pl],Lingua ubykh [it],Língua ubykh [pt],Oubic'heg [br],Oubykh [fr],Ubih nyelv [hu],Ubiĥa lingvo [eo],Ubychische Sprache [de],Ubychiska [sv],Ubyhin kieli [fi],Ubıhça [tr],Päkhy of Haji Osman Köyü,Ubychische
Abun	Yimbun,A Nden,Karon,Manif,Abun Ji,Abun Tat,Arfoe,Karon P. (Ac),Karon Pantai,Karoonsch,Karón,Karôn,Madik
Abun Je	
Abun Tat	Karon Pantai
Abun Ji	Madik
Adai	Adaes,Adahi,Adaise,Adaize,Adaizi,Adees,Adái
Afro-Asiatic	
Berber	
Awjilah	Aoudjila,Augila,Aujila,Auyila,Awjila,Awdjilaeg [br],Awjilah jezik [hr],Idioma auchila [an],Awjilah-Foqaha,Awdjila,Awgila
Ghadames	Gadamés,Ghadamès,Ghadāmis,Ghadamès [en],Ghadamès jezik [hr],Ghadamès language [en]
Ayt Waziten	
Elt Ulid	
Greater Zenatic	
Libyan-Egyptian Oases Berber	
Sawknah-Fogaha	Sawkna,Sawknah,Sokna,Sawknah [an],Sawknah jezik [hr],Sawknah language [en]
Siwi	Berber (Siwa),Siwa,Berber,Oasis Berber,Sioua,Siví,Zenati,Idioma siwi [es],Siwaeg [br],Siwi [an],Siwi jezik [hr],Tasiwit [kab],Syouah
Zenatic	
Western Algerian Berber	Chenoua,Sheliff Basin,Shenowa,Tacenwit,Chenoua [en],Chenoua jezik [hr],Chenoua language [en],Chenoueg [br],Chenoui [fr],Idioma chenoua [an],Shènoï [oc],Beni Menacer,Beni Snous,Chenoua Algerie NO,Matamata,Matmata,Metmata,Oursenis east of El Asnam in Algeria closest to Chenoua,Tamazratt
Northern Saharan Oasis Berber	
Ouargli-Oued Righ	
Ouargli	Berber (Wargla),Berber (Ouargla),Wargla,Ouargla,Tagargrent,Tagargrent [en],Teggargrent
Ouedghir	Wadi
Tariyit	
Temacin	
Oued Righ	Righ,Tamazight, Temacine,Touggourt,Tougourt,Tugurt,Temacine Tamazight [en],Ergeiah-Wadreag (Berber),Oued Rir,Oued Rir',Temacine Tamazight,Oued-Righ Berber,Tahshanit,Tarighit,Taħʃaniʦ,Touggourt Tamazight
Sud Oranais-Gourara	Taznatit,Touat,Taznatit [en],Figuig,Figuig-Oran,Gourara,Igli,South Oran,Timimoun,Garawa,Shilha,Zenati,Zenatia,Zenete,Znatiya
Gourara	Gurara
South Oran	
Touat	Tuat,Tuwat
Tidikelt-Tuat Tamazight	Tamazight,Tamazight, Tidikelt,Tidikelt,Tidikelt Tamazight [en],Tidikelt Tamazight,Touat,Tidikelt Berber
Tidikelt	
Tit	
Tumzabt	Berber (Mzab),Mzab,Ghardaia,Mzab-Wargla,Mzabi,Tamzabit,Tumzabí,Mozabite [fr],Mozabite language [en],Mzab-Wargla [de],Tumẓabt [kab],Beni Mzab,M'zabites
Chaouia of the Aures	Berber (Chaouia),Aurès (Ait Frah),Awras,Shawiya,Awrās,Chaouia,Chawi,Shawia,Tacawit,Tachawit,Chaoui [fr],Chaouia language [en],Chawiyek [br],Lingua tashawit [it],Shaui [oc],Tacawit [kab],Tachawit [en],Tachawit jezik [hr],Xawia [eu],Aouras,Aures,Chawia,Saho,Schaui
Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	Berber (Rif),Rif,Riff,Fifia,Northern Shilha,Rifi,Rifia,Ruafa,Shilha,Tamazight (Ait Rouadi),Tamazight (Arzew),Tamazight (Beni Iznassen),Tamazight (Tunisie),Tamazight (Túnez),Tarifit,Tirifie,Idioma rifenco [an],Idioma rifeño [es],Lingua tarifit [it],Luenga rifeña [ext],Rifain [fr],Rifenc [oc],Tarifit [de],Tarifit jezik [hr],Tarifit language [en],Tarifiteg [br],A Zenati variety East Moyen Atlas,Ait Seghrouchen,Aith Waryaghar,Ayt Seghrouchen,Beni Iznassen,Immigrant community of Vieil Arzeu in Algeria,Nador Tarifiyt,Rifain,Warain
Eastern Middle Atlas Berber	
Riffian	
Eastern Rif	
Beni Iznassen	Beni Snassen,Iznacen
Central Rif	
Arzeu	Old Arzeu
Beni Touzine	
Beni Oulichek	
Guelaya	
Temsamane	
Kebdana	
Southern Rif	
Beni Bou Yhi	
Igzennaian	
Metalsa	
Western Rif	
Boqqoya	
Urrighel	
Zuara-Sened	
Sened	Lingua sendi [it],Sened jezik [hr],Senedeg [br]
Nuclear Sened	
Tmagourt	Tmagurt
Tunisian-Zuwara Berber	Close to the language of Yefren,Djerba,Douiret,Douiri,Eastern Medieval Berber,Guellala,Jerba,Zuara
Kabyle-Atlas Berber	
Atlas Berber	
Central Moroccan Berber	Berber (Ayt Seghrouchen Middle Atlas),Berber (Middle Atlas),Berber (Ayt Ayache Middle Atlas),Berber (Ayt Ndhir Middle Atlas),Oum Jeniba Tamazight,Tamazight (Ayt Ndhir),Tamazight (Middle Atlas),Tamazight (Oum Jeniba),Tamazight,Berber,Central Shilha,Middle Atlas Berber,Shilha,Tamazight (Central Atlas),Tamazight, Central Atlas,Central Atlas Tamazight [en],Central Morocco Tamazight [en],Centralnoatlaski tamazight [hr],Język tamazight [pl],Tamazight [de],Tamazight del Marruecos Central [es],Tamazight du Maroc central [fr],Tamazigteg [br],Ait Hassan,Ait Ndhir,Ait Yafelman-Ait Atta-Ait Seddrat-Ahel Todrha-Ahel-Dades und Ait Mhamed,Amazigh,Ayt Atta,Ayt Ayach,Ayt Ayache,Ayt Ndhir,Central Atlas Tamazight,Ntifa is in the area of SW Central Moroccan Berber,Some varieties of Central Moroccan Berber,Southern part of the Central Moroccan Berber area,Tamazight-Central Atlas,Zaian/Sgougou is,Zemmour around Khemisset between Rabat and Meknes
Central Atlas	
Standard Moroccan Tamazight	
Northwestern Moroccan Berber	
Ghomara	Ghmara,Ghumāra,Ghomara Berber
Senhaja De Srair	Sanhāja of Srair,Senhaja de Srair,Cenhadja,Ketama (West),Senhaja,Zerqet et Ayt Ḥmed,Sanhaja de Srair,Senhajiya
Ayt Bunsar	
Ayt Hmed	
Ayt Mezduy	
Ayt Seddat	
Ketama	
Taghzut	
Zerqet	
Tachelhit	Tashlhiyt,Shilha,Shilha/Tashlhiyt,Tachelhait,Tashelhit Berber,Tashelhait,Shandu,Shendu,Southern Shilha,Susiua,Tachilhit,Tashelhayt,Tashelheyt,Tashelhit,Tashilheet,Tasoussit,Chleuh [fr],Idioma tashelhit [es],Tacelḥit [kab],Tacheliteg [br],Taschelhit [de],Tashelhit [it],Tashelhiyt [nl],Tashelhiyt language [en],Tashelit [oc],Taxelhit [an],Agadir to Ifni,Anti-Atlas of Tinzeggit village 20km south of Tafrawt,Chleuh,Chleuh Medieval,Chleuh Premoderne,Haha and Sous,Mixes Kabyle [kab] and Chleuh,Some varieties of Tachelhit,Sous,Tachelhiyt,Taroudant,Tashelhiyt
Susiua	Sousse,Sus,Sūs
